Athlete,Age,Country,Year,Sport,Gold,Silver,Bronze,Total
Michael Phelps,23,United States,2008,Swimming,8,0,0,8
Michael Phelps,19,United States,2004,Swimming,6,0,2,8
Michael Phelps,27,United States,2012,Swimming,4,2,0,6
Natalie Coughlin,25,United States,2008,Swimming,1,2,3,6
Aleksey Nemov,24,Russia,2000,Gymnastics,2,1,3,6
Alicia Coutts,24,Australia,2012,Swimming,1,3,1,5
Missy Franklin,17,United States,2012,Swimming,4,0,1,5
Ryan Lochte,27,United States,2012,Swimming,2,2,1,5
Allison Schmitt,22,United States,2012,Swimming,3,1,1,5
Natalie Coughlin,21,United States,2004,Swimming,2,2,1,5
